
============================================================
📁 ARQUIVO: LIFE_UHD_-_ARES_PLAY_-__ARES_PLAY_TESTE_-_CADULTOS_[20-01-2026_06h40].m3u
📅 DATA: 20/01/2026 06:40
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 388530 itens.

============================================================
📁 ARQUIVO: LIFE_UHD_-_ARES_PLAY_-__ARES_PLAY_TESTE_-_CADULTOS_[21-01-2026_00h23].m3u
📅 DATA: 21/01/2026 00:23
------------------------------------------------------------
🟢 ENTRARAM (235):
   + [Sem Categoria] (  4K  )⚽ Real Madrid x Monaco ⏰ 17:00  TNT  | (1ª vez: 21/01/2026 00:23)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Retrô  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Vida Real  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais l Globo play Novelas] ❆ Globo play Novelas FHD  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais l Globo play Novelas] ❆ Globo play Novelas HD  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais l Globo play Novelas] ❆ Globo play Novelas SD  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I DISNEY+] Disney+ 1  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I DISNEY+] Disney+ 2  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I DISNEY+] Disney+ 3  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I DISNEY+] Disney+ 4  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I DISNEY+] Disney+ 5  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I GE TV] ❆ GE TV FHD  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I GE TV] ❆ GE TV HD  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I GE TV] ❆ GE TV SD  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I TNT PAULISTA] ✓ Tnt FHD  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I TNT PAULISTA] ✓ Tnt HD  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I TNT PAULISTA] ✓ Tnt SD  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I X-SPORTS] ❆ X-SPORTS 1  | (Visto em: 20/01/2026 06:40)
   - [⚽ CANAIS I X-SPORTS] ❆ X-SPORTS 2  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | APPLE TV] Apple TV 01  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | APPLE TV] Apple TV 02  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | CANAL GOAT] Canal Goat 01  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | CANAL GOAT] Canal Goat 02  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | CANAL GOAT] Canal Goat 03  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 01  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 01 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 02  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 02 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 03  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 03 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 04  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 04 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 05  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 05 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽ Canais | HBO MAX] MAX 06  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | CAZETV] CazeTV 01  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | CAZETV] CazeTV 01 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | CAZETV] CazeTV 02  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | CAZETV] CazeTV 02 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | CAZETV] CazeTV 03  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 1  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 1 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 2  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 2 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 3  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 3 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 4  | (Visto em: 20/01/2026 06:40)
   - [⚽Canais | PARAMOUNT] Paramount+ 4 ALT  | (Visto em: 20/01/2026 06:40)
   - [⚽NCanais | Sporty Net] SportyNet 01  | (Visto em: 20/01/2026 06:40)
   - [⚽NCanais | Sporty Net] SportyNet 02  | (Visto em: 20/01/2026 06:40)
   - [⚽NCanais | Sporty Net] SportyNet 03  | (Visto em: 20/01/2026 06:40)
   - [✅ Canais | UFC Fight / Combate] Combate FHD  | (Visto em: 20/01/2026 06:40)
   - [✅ Canais | UFC Fight / Combate] Combate HD  | (Visto em: 20/01/2026 06:40)
   - [✅ Canais | UFC Fight / Combate] Combate SD  | (Visto em: 20/01/2026 06:40)
   - [✅ Canais | UFC Fight / Combate] UFC Fight Pass 1 (reprises)  | (Visto em: 20/01/2026 06:40)
   - [✅ Canais | UFC Fight / Combate] UFC Fight Pass 2 (ao vivo)  | (Visto em: 20/01/2026 06:40)
   - [✅ Canais | UFC Fight / Combate] UFC Fight Pass 3 (ao vivo)  | (Visto em: 20/01/2026 06:40)
   - [✅ Canais | UFC Fight / Combate] ❆ Combate 4K  | (Visto em: 20/01/2026 06:40)
