============================================================
          RELATÓRIO DE SÉRIES: TEMPORADAS E EPISÓDIOS
 Termo: town doctor
 Data:  15/01/2026 17:46:50
============================================================

📊 RESUMO DE ATUALIZAÇÕES (POR SERVIDOR):
 > [SERVER: -_TESTE_COMPLETO_-_SMART_TVS_(_LG__SAMSUNG__ROKU_).m3u] -> 1ª Temp | Ep mais alto: 39
   ------------------------------
   ├─ The Town Doctor (2022) S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor (2022) S01E39
   └─ Localizado: [ 1ª Temp | Ep: 39] em ▶️ ✅ TURCAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E04
   └─ Localizado: [ 1ª Temp | Ep: 4] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em ▶️ ✅ LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em ▶️ ✅ LEGENDADAS
   ------------------------------


📁 LISTA: Azonix_-__SUPREME_-_Teste_De_24_Horas_Com_Adulto.m3u
   ├─ The Town Doctor [L] S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E04
   └─ Localizado: [ 1ª Temp | Ep: 4] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E04
   └─ Localizado: [ 1ª Temp | Ep: 4] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E24
   └─ Localizado: [ 1ª Temp | Ep: 24] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E25
   └─ Localizado: [ 1ª Temp | Ep: 25] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E26
   └─ Localizado: [ 1ª Temp | Ep: 26] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E27
   └─ Localizado: [ 1ª Temp | Ep: 27] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E28
   └─ Localizado: [ 1ª Temp | Ep: 28] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E29
   └─ Localizado: [ 1ª Temp | Ep: 29] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E30
   └─ Localizado: [ 1ª Temp | Ep: 30] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E31
   └─ Localizado: [ 1ª Temp | Ep: 31] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E32
   └─ Localizado: [ 1ª Temp | Ep: 32] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E33
   └─ Localizado: [ 1ª Temp | Ep: 33] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E34
   └─ Localizado: [ 1ª Temp | Ep: 34] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E35
   └─ Localizado: [ 1ª Temp | Ep: 35] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E36
   └─ Localizado: [ 1ª Temp | Ep: 36] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E37
   └─ Localizado: [ 1ª Temp | Ep: 37] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E38
   └─ Localizado: [ 1ª Temp | Ep: 38] em Series | Turcas
   ------------------------------
   ├─ The Town Doctor S01E39
   └─ Localizado: [ 1ª Temp | Ep: 39] em Series | Turcas
   ------------------------------


📁 LISTA: Azonix_-__SUPREME_-_Teste_De_24_Horas_Sem_Adulto.m3u
   ├─ The Town Doctor [L] S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E04
   └─ Localizado: [ 1ª Temp | Ep: 4] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E06
   └─ Localizado: [ 1ª Temp | Ep: 6] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E07
   └─ Localizado: [ 1ª Temp | Ep: 7] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E08
   └─ Localizado: [ 1ª Temp | Ep: 8] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E09
   └─ Localizado: [ 1ª Temp | Ep: 9] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E10
   └─ Localizado: [ 1ª Temp | Ep: 10] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E11
   └─ Localizado: [ 1ª Temp | Ep: 11] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E12
   └─ Localizado: [ 1ª Temp | Ep: 12] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E13
   └─ Localizado: [ 1ª Temp | Ep: 13] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E14
   └─ Localizado: [ 1ª Temp | Ep: 14] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E15
   └─ Localizado: [ 1ª Temp | Ep: 15] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E16
   └─ Localizado: [ 1ª Temp | Ep: 16] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E17
   └─ Localizado: [ 1ª Temp | Ep: 17] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E18
   └─ Localizado: [ 1ª Temp | Ep: 18] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E19
   └─ Localizado: [ 1ª Temp | Ep: 19] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E20
   └─ Localizado: [ 1ª Temp | Ep: 20] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E21
   └─ Localizado: [ 1ª Temp | Ep: 21] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E22
   └─ Localizado: [ 1ª Temp | Ep: 22] em Series | Legendadas
   ------------------------------
   ├─ The Town Doctor [L] S01E23
   └─ Localizado: [ 1ª Temp | Ep: 23] em Series | Legendadas
